1;Гнусарев Георгий Фадеевич;+7 (908) 329-94-94;Россия, г. Энгельс, Дружная ул., д. 3 кв.142
2;Янушевская Зоя Юрьевна;+7 (981) 700-89-79;Россия, г. Симферополь, 17 Сентября ул., д. 9 кв.20
3;Близнюк Татьяна Михаиловна;+7 (981) 316-70-16;Россия, г. Набережные Челны, Озерный пер., д. 17 кв.3
4;Якимович Алексей Даниилович;+7 (963) 304-56-78;Россия, г. Салават, Тихая ул., д. 8 кв.153
5;Холод Ярослава Ираклиевна;+7 (933) 491-99-78;Россия, г. Альметьевск, Первомайская ул., д. 25 кв.157
6;Успенский Игнатий Афанасьевич;+7 (979) 697-56-48;Россия, г. Невинномысск, Хуторская ул., д. 7 кв.130
7;Оськина Анжела Климентьевна;+7 (929) 428-81-52;Россия, г. Ессентуки, Новоселов ул., д. 6 кв.24
8;Теплова Ева Данииловна;+7 (936) 858-36-83;Россия, г. Владимир, Полесская ул., д. 25 кв.56
9;Шарапов Семен Леонтьевич;+7 (931) 740-26-72;Россия, г. Липецк, Белорусская ул., д. 5 кв.172
10;Кравцов  Иван Алексеевич;+7 (908) 731-95-37;Россия, г. Северск, Светлая ул., д. 21 кв.69
